current_season_start	current_season_end	other_season_start	other_season_end	distance_map	mean	std	count
1996-07-01	1997-07-01	1996-07-01	1997-07-01	koel	0.7	0.0	5
1996-07-01	1997-07-01	1996-07-01	1997-07-01	stem	1.47	0.0	5
1996-07-01	1997-07-01	1996-07-01	1997-07-01	stem_ep	0.0	0.0	5
1996-07-01	1997-07-01	1996-07-01	1997-07-01	titer_substitution_model	1.83	0.025495097567963938	5
1996-07-01	1997-07-01	1996-07-01	1997-07-01	titer_tree_model	1.954	0.015165750888103085	5
1996-07-01	1997-07-01	1996-07-01	1997-07-01	wolf	8.89	0.0	5
1996-07-01	1997-07-01	1996-07-01	1997-07-01	wolf_nonepitope	2.11	0.0	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	koel	1.498	0.004472135954999596	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	stem	1.4300000000000002	0.023452078799117187	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	stem_ep	0.03	0.0	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	titer_substitution_model	1.996	0.06107372593840994	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	titer_tree_model	1.996	0.051283525619832376	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	wolf	10.437999999999999	0.004472135954999509	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	wolf_nonepitope	1.988	0.022803508501982598	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	koel	1.6299999999999997	0.0	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	stem	2.026	0.023021728866442607	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	stem_ep	0.28	0.0	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	titer_substitution_model	1.966	0.041593268686170796	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	titer_tree_model	2.126	0.07829431652425355	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	wolf	11.523999999999997	0.005477225575051085	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	wolf_nonepitope	3.0140000000000002	0.028809720581775743	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	koel	0.958	0.004472135954999596	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	stem	1.2719999999999998	0.040865633483405106	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	stem_ep	0.07	0.0	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	titer_substitution_model	1.526	0.015165750888103133	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	titer_tree_model	1.3	0.010000000000000037	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	wolf	7.178	0.004472135954999571	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	wolf_nonepitope	1.6480000000000001	0.03834057902536151	5
1997-07-01	1998-07-01	1998-07-01	1999-07-01	koel	0.628	0.004472135954999571	5
1997-07-01	1998-07-01	1998-07-01	1999-07-01	stem	1.9280000000000002	0.04086563348340513	5
