lbi	replicate	season_end	season_start	strain
0.4121	0	1997-07-01	1996-07-01	A/NewYork/597/1997
0.5055	0	1997-07-01	1996-07-01	A/Beijing/65/1997
0.5616	0	1997-07-01	1996-07-01	A/Harbin/1/1997
0.5643	0	1997-07-01	1996-07-01	A/Harbin/2/1997
0.4123	0	1997-07-01	1996-07-01	A/NewYork/569/1997
0.4971	0	1997-07-01	1996-07-01	A/NewYork/585/1997
0.5131	0	1997-07-01	1996-07-01	A/NewYork/558/1997
0.441	0	1997-07-01	1996-07-01	A/Scotland/39/1997
1.0437	0	1997-07-01	1996-07-01	A/NewYork/581/1997
1.1524	0	1997-07-01	1996-07-01	A/NewYork/579/1997
1.2174	0	1997-07-01	1996-07-01	A/NewYork/560/1997
1.2471	0	1997-07-01	1996-07-01	A/NewYork/564/1997
0.9126	0	1997-07-01	1996-07-01	A/NewYork/583/1997
1.2174	0	1997-07-01	1996-07-01	A/NewYork/576/1997
1.1417	0	1997-07-01	1996-07-01	A/NewYork/566/1997
0.9086	0	1997-07-01	1996-07-01	A/HongKong/CUHK4147/1997
1.1774	0	1997-07-01	1996-07-01	A/HongKong/CUHK4391/1997
1.0791	0	1997-07-01	1996-07-01	A/HongKong/CUHK4622/1997
1.1237	0	1997-07-01	1996-07-01	A/HongKong/CUHK4529/1997
0.8813	0	1997-07-01	1996-07-01	A/HongKong/CUHK12626/1997
0.8795	0	1997-07-01	1996-07-01	A/HongKong/CUHK12794/1997
0.9204	0	1997-07-01	1996-07-01	A/HongKong/CUHK12563/1997
1.3613	0	1997-07-01	1996-07-01	A/HongKong/CUHK4542/1997
1.2322	0	1997-07-01	1996-07-01	A/HongKong/CUHK4803/1997
0.9712	0	1997-07-01	1996-07-01	A/HongKong/CUHK12566/1997
0.8913	0	1997-07-01	1996-07-01	A/HongKong/CUHK20010/1997
0.464	0	1997-07-01	1996-07-01	A/Scotland/31/1997
0.8488	0	1997-07-01	1996-07-01	A/Siena/1/1997
0.6306	0	1997-07-01	1996-07-01	A/HongKong/CUHK4245/1997
0.7708	0	1997-07-01	1996-07-01	A/Beijing/62/1997
0.5346	0	1997-07-01	1996-07-01	A/Malaysia/12726/1997
