current_season_start	current_season_end	other_season_start	other_season_end	distance_map	current_strain	mean_distance
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/NewYork/566/1997	11.25
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/NewYork/585/1997	8.04
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/NewYork/558/1997	7.68
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/NewYork/597/1997	5.54
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Siena/1/1997	6.32
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK4245/1997	5.39
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/NewYork/569/1997	5.36
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Malaysia/12726/1997	5.50
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK4391/1997	4.86
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK12566/1997	4.86
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK4529/1997	4.86
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK20010/1997	4.86
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK4542/1997	5.79
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK12794/1997	4.86
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK12563/1997	4.86
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK4803/1997	5.79
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK4622/1997	4.86
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK12626/1997	4.86
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/HongKong/CUHK12160/1997	5.43
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Malaysia/12942/1997	7.14
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Malaysia/12904/1997	7.14
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Malaysia/13002/1997	7.14
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Malaysia/12990/1997	7.14
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Malaysia/12974/1997	8.36
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Malaysia/12550/1997	7.43
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Malaysia/12766/1997	7.43
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Malaysia/12106/1997	8.32
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	A/Malaysia/12132/1997	8.32
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/566/1997	11.36
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/585/1997	6.54
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/558/1997	6.51
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/597/1997	4.49
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Siena/1/1997	5.49
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK4245/1997	4.49
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/569/1997	4.20
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/12726/1997	4.13
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK4391/1997	3.37
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK12566/1997	3.37
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK4529/1997	3.37
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK20010/1997	3.37
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK4542/1997	4.37
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK12794/1997	3.37
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK12563/1997	3.37
